id,city,city1,country,latitude,longitude,state,geo_accuracy
89,Elberta,Elberta PA,US,40.5124,-78.3241,PA,accurate
90,Fostoria,Fostoria PA,US,40.6191,-78.3198,PA,accurate
91,Fort Fetter,Fort Fetter PA,US,40.4301,-78.4044,PA,accurate
92,Ottine,Ottine TX,US,29.598,-97.5842,TX,accurate
93,Richmond Heights,Richmond Heights OH,US,41.5589,-81.5029,OH,accurate
94,Williams Bay,Williams Bay WI,US,42.5788,-88.5457,WI,accurate
95,Miami Lakes,Miami Lakes FL,US,25.9125,-80.3214,FL,accurate
96,Skipperton,Skipperton GA,US,32.7438,-83.6924,GA,accurate
97,Lovely,Lovely KY,US,37.8259,-82.4013,KY,accurate
98,Arthur,Arthur NY,US,43.4951,-76.248,NY,state_match_city_mismatch
99,Hobo Station,Hobo Station MS,US,34.5609,-88.4662,MS,accurate
100,Beulah Heights,Beulah Heights KY,US,36.8042,-84.4394,KY,accurate
101,Friendship,Friendship VA,US,36.7301,-81.7415,VA,accurate
102,Foster Fork,Foster Fork VA,US,38.7748,-77.7533,VA,state_match_city_mismatch
103,Franklin Park,Franklin Park VA,US,38.9101,-77.1533,VA,accurate
104,Franklin Forest,Franklin Forest VA,US,38.9093,-77.1603,VA,accurate
105,Fox Hall Park,Fox Hall Park VA,US,36.8721,-76.221,VA,state_match_city_mismatch
106,Evelyn,Evelyn LA,US,31.9879,-93.4432,LA,accurate
107,Whiting,Whiting IA,US,42.1272,-96.1507,IA,accurate
108,Switz City,Switz City IN,US,39.0348,-87.054,IN,accurate
109,Lavinia,Lavinia MN,US,47.515,-94.8117,MN,state_match_city_mismatch
110,Lax Lake,Lax Lake MN,US,47.3441,-91.3088,MN,accurate
111,Neosheo,Neosheo KY,US,36.712,-86.6786,KY,accurate
112,Nepton,Nepton KY,US,38.4354,-83.8341,KY,accurate
113,East View,East View PA,US,39.8937,-80.2298,PA,accurate
114,East Washington,East Washington PA,US,40.1745,-80.2325,PA,accurate
115,Jonesville,Jonesville CA,US,40.1124,-121.4672,CA,accurate
116,Timmer,Timmer ND,US,46.3714,-101.0179,ND,accurate
117,Tilden,Tilden ND,US,48.1558,-99.2468,ND,accurate
118,Hatfield,Hatfield MO,US,40.5289,-94.155,MO,accurate
119,Green Springs,Green Springs PA,US,39.849,-77.0033,PA,accurate
120,Green Spring,Green Spring PA,US,40.1493,-77.4639,PA,accurate
121,Sharpsburg,Sharpsburg PA,US,40.494,-79.9249,PA,accurate
122,Brotmanville,Brotmanville NJ,US,39.5207,-75.0824,NJ,accurate
123,Brookville,Brookville NJ,US,39.7818,-74.3074,NJ,accurate
124,Forest Hill,Forest Hill MD,US,39.5851,-76.3877,MD,state_match_city_mismatch
125,Garner,Garner IA,US,43.1,-93.6031,IA,accurate
126,Forest Park,Forest Park MD,US,39.7029,-78.2995,MD,accurate
127,Garfield,Garfield KS,US,38.077,-99.2445,KS,accurate
128,Tallapoosa,Tallapoosa GA,US,33.7335,-85.2859,GA,accurate
129,Ursine,Ursine NV,US,37.9771,-114.2289,NV,accurate
130,San Mateo,San Mateo FL,US,29.6066,-81.5845,FL,accurate
131,Walker Lake,Walker Lake NV,US,38.6458,-118.7563,NV,accurate
132,San Jose Forest,San Jose Forest FL,US,30.2516,-81.629,FL,accurate
133,Asbury,Asbury NJ,US,40.7003,-75.0121,NJ,accurate
134,Mount Vista,Mount Vista WA,US,45.7373,-122.6316,WA,accurate
135,Blackwells Mills,Blackwells Mills NJ,US,40.4773,-74.5976,NJ,state_match_city_mismatch
136,Scoria Point,Scoria Point ND,US,46.9311,-103.4855,ND,accurate
137,Fox Springs,Fox Springs MO,US,38.0087,-91.4593,MO,accurate
138,Seabrook Station,Seabrook Station NH,US,42.8876,-70.8601,NH,accurate
139,Brunnerville,Brunnerville PA,US,40.1848,-76.2847,PA,accurate
140,Lawrie,Lawrie OK,US,35.9567,-97.4234,OK,accurate
141,McAllen,McAllen TX,US,26.2252,-98.2467,TX,state_match_city_mismatch
142,Lakeside,Lakeside OK,US,33.9551,-96.5519,OK,accurate
143,Lakeview,Lakeview OK,US,35.7978,-97.4253,OK,accurate
144,Lake Creek,Lake Creek OK,US,35.0295,-99.4134,OK,accurate
145,Lake Valley,Lake Valley OK,US,35.1681,-98.8631,OK,accurate
146,Latham,Latham OK,US,35.1234,-94.8055,OK,accurate
147,Laverty,Laverty OK,US,34.9906,-98.0753,OK,accurate
148,Lamberson,Lamberson OK,US,34.7948,-95.0136,OK,accurate
149,McGlamery Stand,McGlamery Stand TN,US,35.1467,-87.745,TN,accurate
150,Vigo Park,Vigo Park TX,US,34.6526,-101.496,TX,accurate
151,Austin,Austin TX,US,30.3005,-97.7522,TX,state_match_city_mismatch
152,Locustville,Locustville VA,US,37.6537,-75.6783,VA,state_match_city_mismatch
153,Ellisdale,Ellisdale NJ,US,40.1318,-74.584,NJ,accurate
154,Deckertown,Deckertown NY,US,42.3437,-76.8319,NY,accurate
155,Rye Beach,Rye Beach NH,US,42.9768,-70.7656,NH,accurate
156,Purling,Purling NY,US,42.2843,-74.0054,NY,accurate
157,Marshville,Marshville ME,US,44.6162,-67.7844,ME,accurate
158,Mount Sidney,Mount Sidney VA,US,38.2586,-78.9654,VA,accurate
159,Pine Springs,Pine Springs NM,US,34.9656,-106.2336,NM,accurate
160,Quarryville,Quarryville CT,US,41.8645,-72.4212,CT,inaccurate
161,Pettus,Pettus WV,US,37.9565,-81.5376,WV,accurate
162,Pettyville,Pettyville WV,US,39.212,-81.5432,WV,accurate
163,Saint Patrick,Saint Patrick MN,US,44.5947,-93.5022,MN,accurate
164,South Barre,South Barre MA,US,42.3854,-72.0954,MA,accurate
165,Sweetwater,Sweetwater IL,US,40.0539,-89.694,IL,accurate
166,North Swansea,North Swansea MA,US,41.7682,-71.2634,MA,accurate
167,Copeland Bridge,Copeland Bridge AL,US,34.2968,-85.8852,AL,accurate
168,Milton Upper Mills,Milton Upper Mills MA,US,42.2612,-71.0953,MA,accurate
169,Collinsville,Collinsville AL,US,34.2664,-85.8679,AL,accurate
170,Anthony,Anthony FL,US,29.2894,-82.1118,FL,state_match_city_mismatch
171,Fleischmanns,Fleischmanns NY,US,42.1552,-74.5335,NY,accurate
172,Floral Park,Floral Park NY,US,40.7227,-73.7029,NY,accurate
173,Veblen,Veblen SD,US,45.862,-97.2869,SD,accurate
174,Farmingdale,Farmingdale NY,US,40.7328,-73.4468,NY,accurate
175,Farnham,Farnham NY,US,42.595,-79.0809,NY,accurate
176,Fayetteville,Fayetteville NY,US,43.0308,-75.9984,NY,state_match_city_mismatch
177,Fair Haven,Fair Haven NY,US,43.3263,-76.7044,NY,accurate
178,Fairport,Fairport NY,US,43.099,-77.4427,NY,accurate
179,Falconer,Falconer NY,US,42.1191,-79.1969,NY,accurate
180,Benton Park,Benton Park IL,US,38.0598,-88.9148,IL,accurate
181,Big Trees,Big Trees CA,US,38.2774,-120.3105,CA,state_match_city_mismatch
182,Ottawa,Ottawa IL,US,41.3555,-88.8261,IL,accurate
183,McHenry,McHenry IL,US,42.3387,-88.2932,IL,accurate
184,Santa Elena,Santa Elena TX,US,26.7601,-98.4864,TX,accurate
185,Argo Fay,Argo Fay IL,US,42.0042,-90.0173,IL,accurate
186,Hewittville,Hewittville IL,US,39.5362,-89.2168,IL,accurate
187,Schenley,Schenley PA,US,40.6845,-79.6617,PA,accurate
188,Scheidy,Scheidy PA,US,40.6932,-75.5613,PA,accurate
189,Sanford,Sanford PA,US,41.7695,-79.5359,PA,accurate
190,Saylorsville,Saylorsville PA,US,41.0406,-75.6935,PA,accurate
191,Saverys Mill,Saverys Mill PA,US,39.8832,-75.6433,PA,state_match_city_mismatch
192,Sandy Lick,Sandy Lick PA,US,40.7126,-79.7292,PA,accurate
193,Sandrock,Sandrock PA,US,39.7451,-80.3998,PA,accurate
194,Sandy Valley,Sandy Valley PA,US,41.1301,-78.8864,PA,accurate
195,Sandy Plains,Sandy Plains PA,US,39.9979,-80.0292,PA,accurate
196,Naponee,Naponee NE,US,40.0747,-99.1386,NE,accurate
197,Bonus,Bonus PA,US,41.1176,-79.7164,PA,accurate
198,Bonnie Brook,Bonnie Brook PA,US,40.8665,-79.8292,PA,accurate
199,Bonnymeade,Bonnymeade PA,US,40.3623,-80.3581,PA,accurate
200,Bonny Brook,Bonny Brook PA,US,40.1781,-77.1855,PA,accurate
201,Lobdell,Lobdell MS,US,33.7184,-90.9823,MS,accurate
202,Livingston,Livingston MS,US,32.5529,-90.2162,MS,state_match_city_mismatch
203,Hiland,Hiland WY,US,43.1152,-107.349,WY,accurate
204,Hudson,Hudson WY,US,42.9028,-108.5819,WY,accurate
205,Frost,Frost LA,US,30.4041,-90.7393,LA,accurate
206,Salona,Salona PA,US,41.0838,-77.4586,PA,accurate
207,Manor Hill,Manor Hill PA,US,40.6187,-77.9208,PA,accurate
208,Ridgecrest,Ridgecrest LA,US,31.6018,-91.5304,LA,accurate
209,Winston-Salem,Winston-Salem NC,US,36.1029,-80.261,NC,accurate
210,Osbornes Mills,Osbornes Mills NJ,US,40.1537,-74.0587,NJ,accurate
211,Osbornsville,Osbornsville NJ,US,40.0385,-74.1076,NJ,state_match_city_mismatch
212,Osborn Mills,Osborn Mills NJ,US,40.7218,-74.5307,NJ,accurate
213,Othello,Othello NJ,US,39.4114,-75.3426,NJ,state_match_city_mismatch
214,Pocopson,Pocopson PA,US,39.9077,-75.6634,PA,state_match_city_mismatch
215,Pennsbury,Pennsbury PA,US,39.8658,-75.6239,PA,state_match_city_mismatch
216,Penn,Penn PA,US,39.8226,-75.8742,PA,state_match_city_mismatch
217,North Coventry,North Coventry PA,US,40.2199,-75.6818,PA,accurate
218,Schuylkill,Schuylkill PA,US,40.1086,-75.4982,PA,accurate
219,Sadsbury,Sadsbury PA,US,39.9788,-75.9078,PA,accurate
220,Kempville,Kempville TN,US,36.3467,-85.8633,TN,accurate
221,Farmington,Farmington IL,US,40.697,-90.0024,IL,accurate
222,Big Tree,Big Tree NY,US,42.7698,-78.8114,NY,accurate
223,Readus,Readus VA,US,38.8559,-78.5908,VA,accurate
224,Orsino,Orsino FL,US,28.5278,-80.6653,FL,state_match_city_mismatch
225,Ortona,Ortona FL,US,26.8131,-81.3156,FL,accurate
226,Olive,Olive FL,US,30.5088,-87.2553,FL,accurate
227,Oslo,Oslo FL,US,27.5867,-80.3803,FL,accurate
228,Orange Bend,Orange Bend FL,US,28.8611,-81.7987,FL,state_match_city_mismatch
229,Orange Blossom Hills South,Orange Blossom Hills South FL,US,28.9283,-81.9481,FL,accurate
230,The Dalles,The Dalles OR,US,45.6053,-121.1818,OR,accurate
231,Sago,Sago OR,US,45.0765,-117.8494,OR,state_match_city_mismatch
232,Rufus,Rufus OR,US,45.6919,-120.7434,OR,accurate
233,Ross,Ross OR,US,45.4615,-118.4197,OR,state_match_city_mismatch
234,Phillipsburg,Phillipsburg KS,US,39.7512,-99.321,KS,accurate
235,Stern,Stern FL,US,30.4669,-83.6415,FL,accurate
236,Wallburg,Wallburg NC,US,36.0088,-80.1453,NC,state_match_city_mismatch
237,Larto,Larto LA,US,31.3727,-91.9046,LA,accurate
238,Nisbet,Nisbet PA,US,41.2181,-77.1133,PA,accurate
239,Nineveh,Nineveh PA,US,41.2648,-79.6017,PA,accurate
240,Fischers Mill,Fischers Mill OR,US,45.3387,-122.4356,OR,state_match_city_mismatch
241,Himyar,Himyar KY,US,36.8376,-83.8013,KY,accurate
242,Lake Judge Perez,Lake Judge Perez LA,US,29.5585,-89.8862,LA,accurate
243,New Harmony,New Harmony UT,US,37.4803,-113.3096,UT,accurate
244,Nerva,Nerva UT,US,41.3688,-112.0416,UT,state_match_city_mismatch
245,Hiseville,Hiseville KY,US,37.1008,-85.8149,KY,accurate
246,White Oak,White Oak AL,US,34.5476,-87.9945,AL,accurate
247,White Crossroads,White Crossroads AL,US,33.1957,-85.3433,AL,state_match_city_mismatch
248,Wheeling Crossroad,Wheeling Crossroad AL,US,33.4096,-86.92,AL,accurate
249,Whatley Cross Road,Whatley Cross Road AL,US,32.4976,-85.3747,AL,accurate
250,Westover,Westover AL,US,33.3684,-86.5346,AL,accurate
251,Western Hills Estates,Western Hills Estates AL,US,34.8115,-86.7456,AL,accurate
252,Westbrook,Westbrook AL,US,32.3235,-87.3333,AL,accurate
253,Midway,Midway MS,US,32.169,-90.3756,MS,state_match_city_mismatch
254,Mildred,Mildred MS,US,31.148,-89.842,MS,accurate
255,Middleton,Middleton MS,US,32.1638,-88.6123,MS,state_match_city_mismatch
256,Millington,Millington MS,US,32.8812,-88.4159,MS,accurate
257,Mingo,Mingo MS,US,34.632,-88.1503,MS,accurate
258,Millard,Millard MS,US,30.7224,-89.5984,MS,accurate
259,Missala,Missala MS,US,30.458,-88.4,MS,accurate
260,Misterton,Misterton MS,US,33.7079,-89.5823,MS,accurate
261,Carlisle West,Carlisle West WA,US,47.1523,-124.108,WA,accurate
262,Mill Creek,Mill Creek WA,US,47.8631,-122.2037,WA,state_match_city_mismatch
263,Agate Bay,Agate Bay WA,US,48.7559,-122.3554,WA,accurate
264,Decatur,Decatur WA,US,48.5004,-122.8196,WA,accurate
265,Lincolndale,Lincolndale NY,US,41.3356,-73.7252,NY,accurate
266,Lincoln Park,Lincoln Park NY,US,41.9566,-74.0018,NY,state_match_city_mismatch
267,West Brook Downs,West Brook Downs IN,US,39.2145,-86.6011,IN,accurate
268,Lido Beach,Lido Beach NY,US,40.5911,-73.6128,NY,accurate
269,Lexington Park,Lexington Park MD,US,38.2528,-76.4424,MD,state_match_city_mismatch
270,Levittown,Levittown PA,US,40.1533,-74.8531,PA,state_match_city_mismatch
271,Levittown,Levittown NY,US,40.7241,-73.5125,NY,accurate
272,Lime Ridge,Lime Ridge PA,US,41.024,-76.3504,PA,accurate
273,Field Crossing,Field Crossing NY,US,42.6776,-75.031,NY,accurate
274,Lima,Lima PA,US,39.9194,-75.4416,PA,accurate
275,Lightstreet,Lightstreet PA,US,41.0407,-76.4175,PA,accurate
276,Black Lake,Black Lake MI,US,45.4314,-84.2486,MI,accurate
277,Klondike,Klondike MO,US,37.1451,-94.5994,MO,accurate
278,Bloomington,Bloomington KS,US,39.4517,-98.787,KS,accurate
279,Berry Mills,Berry Mills ME,US,44.6292,-70.4495,ME,accurate
280,Unicorn,Unicorn MD,US,39.2482,-75.863,MD,accurate
281,Kimball Stand,Kimball Stand NY,US,42.1748,-79.255,NY,state_match_city_mismatch
282,Malta,Malta CO,US,39.2294,-106.3509,CO,state_match_city_mismatch
283,Stringtown,Stringtown CO,US,39.2336,-106.3192,CO,accurate
284,Gothic,Gothic CO,US,38.9592,-106.9898,CO,accurate
285,Ellisville,Ellisville MA,US,41.8445,-70.5417,MA,accurate
286,Bayport,Bayport MN,US,45.0152,-92.7789,MN,accurate
287,Stanhope,Stanhope NC,US,35.8657,-78.0811,NC,accurate
288,Weatherford,Weatherford TX,US,32.7536,-97.7723,TX,accurate
289,Stanley,Stanley NC,US,35.3552,-81.0938,NC,accurate
290,Bargers Springs,Bargers Springs WV,US,37.6143,-80.7579,WV,accurate
291,Cassell,Cassell OH,US,40.0104,-81.6568,OH,accurate
292,Whitehall,Whitehall MI,US,43.4003,-86.3405,MI,accurate
293,Adair,Adair MS,US,33.3137,-90.0906,MS,accurate
294,Toppers,Toppers OK,US,35.9656,-95.3201,OK,state_match_city_mismatch
295,Barker,Barker WV,US,39.5795,-80.6604,WV,state_match_city_mismatch
296,Gouldbusk,Gouldbusk TX,US,31.5549,-99.4767,TX,state_match_city_mismatch
297,Roxie,Roxie MS,US,31.5077,-91.0711,MS,accurate
298,Barnetts,Barnetts VA,US,37.3671,-77.1578,VA,state_match_city_mismatch
299,Stillwater,Stillwater MN,US,45.0573,-92.8313,MN,accurate
300,Stockholm,Stockholm MN,US,45.0364,-94.2211,MN,accurate
301,Bolivia,Bolivia NC,US,34.0699,-78.1472,NC,accurate
302,Celina,Celina TN,US,36.5469,-85.5043,TN,accurate
303,Buxton Center,Buxton Center ME,US,43.6487,-70.5412,ME,accurate
304,Ribbon,Ribbon VA,US,38.0468,-77.9561,VA,state_match_city_mismatch
305,Rexburg,Rexburg VA,US,37.9365,-76.9869,VA,accurate
306,Tyrone,Tyrone PA,US,40.6764,-78.246,PA,accurate
307,Tylersport,Tylersport PA,US,40.3495,-75.381,PA,accurate
308,Williams,Williams GA,US,32.1063,-81.2521,GA,state_match_city_mismatch
309,Piney Green,Piney Green NC,US,34.7498,-77.3208,NC,state_match_city_mismatch
310,Lake Panorama,Lake Panorama IA,US,41.7199,-94.4026,IA,state_match_city_mismatch
311,Holiday Lake,Holiday Lake IA,US,41.8175,-92.4529,IA,state_match_city_mismatch
312,Conroy,Conroy IA,US,41.7266,-91.9985,IA,accurate
313,Climbing Hill,Climbing Hill IA,US,42.3394,-96.0811,IA,accurate
314,Diamondhead Lake,Diamondhead Lake IA,US,41.5507,-94.258,IA,state_match_city_mismatch
315,Denmark,Denmark IA,US,40.7385,-91.3381,IA,accurate
316,Garden City,Garden City IA,US,42.2455,-93.3954,IA,accurate
317,Frytown,Frytown IA,US,41.572,-91.7321,IA,accurate
318,High Amana,High Amana IA,US,41.8011,-91.9418,IA,accurate
319,Green Mountain,Green Mountain IA,US,42.1019,-92.8196,IA,accurate
320,Scipio,Scipio OK,US,35.0513,-95.9556,OK,accurate
321,Burdette,Burdette MS,US,33.3485,-90.9148,MS,accurate
322,Silica,Silica MN,US,47.2647,-93.0208,MN,accurate
323,Cokesbury,Cokesbury MD,US,38.1271,-75.5791,MD,accurate
324,Birds Landing,Birds Landing CA,US,38.1327,-121.8708,CA,accurate
325,John Day,John Day OR,US,44.4181,-118.9563,OR,accurate
326,Coleman,Coleman MD,US,39.3415,-76.078,MD,state_match_city_mismatch
327,Reagan,Reagan OK,US,34.3488,-96.7193,OK,accurate
328,Gibraltar,Gibraltar MI,US,42.096,-83.2029,MI,accurate
329,Paukūkalo,Paukūkalo HI,US,20.9054,-156.4848,HI,accurate
330,Slick Rock,Slick Rock CO,US,38.0428,-108.8887,CO,state_match_city_mismatch
331,Saxton,Saxton MO,US,39.7225,-94.7591,MO,accurate
332,Willoughby,Willoughby NY,US,42.2009,-78.6081,NY,accurate
333,Distant,Distant PA,US,40.9695,-79.3567,PA,accurate
334,Seals,Seals GA,US,30.873,-81.704,GA,accurate
335,Aurora,Aurora OR,US,45.2284,-122.7573,OR,accurate
336,Glenbar,Glenbar AZ,US,32.9167,-109.8581,AZ,accurate
337,Aumsville,Aumsville OR,US,44.8462,-122.87,OR,accurate
338,Gleeson,Gleeson AZ,US,31.734,-109.8298,AZ,accurate
339,Glen Ilah,Glen Ilah AZ,US,34.215,-112.7591,AZ,accurate
340,Carnes,Carnes MS,US,30.9935,-89.2598,MS,accurate
341,Weber,Weber MN,US,45.475,-93.1241,MN,accurate
342,Lapham,Lapham AZ,US,34.1806,-112.4021,AZ,accurate
343,Casstown,Casstown OH,US,40.0528,-84.1285,OH,accurate
344,Black Hammock,Black Hammock FL,US,28.7107,-81.1801,FL,state_match_city_mismatch
345,Rodney,Rodney OH,US,38.8492,-82.304,OH,state_match_city_mismatch
346,Rocky Hill,Rocky Hill OH,US,38.989,-82.5449,OH,accurate
347,Rokeby Lock,Rokeby Lock OH,US,39.732,-81.9051,OH,accurate
348,Carney,Carney MI,US,45.5935,-87.5547,MI,state_match_city_mismatch
349,Knox City,Knox City TX,US,33.4176,-99.8158,TX,accurate
350,Caro,Caro MI,US,43.4891,-83.4025,MI,accurate
351,Casey,Casey IA,US,41.5075,-94.5214,IA,accurate
352,Cascade,Cascade IA,US,42.3018,-91.0048,IA,accurate
353,Chumuckla,Chumuckla FL,US,30.7826,-87.2309,FL,accurate
354,Carter Lake,Carter Lake IA,US,41.2884,-95.9171,IA,accurate
355,Cartersville,Cartersville IA,US,42.9944,-93.083,IA,state_match_city_mismatch
356,Winnfield,Winnfield LA,US,31.924,-92.6425,LA,accurate
357,Wingo,Wingo KY,US,36.6422,-88.7395,KY,accurate
358,Nitrate City,Nitrate City AL,US,34.7573,-87.5597,AL,accurate
359,Windy Hills,Windy Hills KY,US,38.2702,-85.6378,KY,accurate
360,Winder,Winder GA,US,33.9917,-83.7218,GA,accurate
361,Winchester,Winchester TN,US,35.1898,-86.1075,TN,state_match_city_mismatch
362,Winchester,Winchester KY,US,38.0018,-84.1908,KY,state_match_city_mismatch
363,Wilton Manors,Wilton Manors FL,US,26.1593,-80.1395,FL,state_match_city_mismatch
364,Nicholsville,Nicholsville AL,US,32.0082,-87.902,AL,accurate
365,Winnsboro,Winnsboro LA,US,32.165,-91.721,LA,accurate
